dso_scenario_index,dso_active_load_factor,dso_reactive_load_factor,dtheta_mean,dtheta_std,dtheta_min,dtheta_max,n_directions,coverage_percent,undercoverage_percent,overcoverage_percent,undercovered_direction_percent,overcovered_direction_percent,coverage_median_percent,coverage_p05_percent,coverage_p95_percent,coverage_sample_count,selected_for_downstream,coverage_percentile,coverage_rank_zero_based
26,0.9834842590336884,1.0035864998157258,-0.020284484956105766,0.29489726177197406,-0.4889687355713528,0.4966968538529768,100,86.71065264031961,13.289347359680399,0.0,100.0,0.0,86.44677848544455,80.54854157234215,93.90776872217383,100,False,nan,nan
27,0.9894151206713666,1.0443231176228627,-0.025178952675334598,0.2926650255511418,-0.48789152476511255,0.47997032935885064,100,87.50313260165186,12.49686739834816,0.0,100.0,0.0,89.23811744740424,80.45943780168757,93.44011696126276,100,False,nan,nan
28,1.0118234791132357,0.9788869457594728,0.045470626497670044,0.2900360598532734,-0.49477038645708726,0.4963343376272473,100,87.63108108040178,12.368918919598222,0.0,100.0,0.0,86.96503733895798,83.37340224667865,92.7777965198545,100,False,nan,nan
29,1.0225748030037631,0.9774618022662143,-0.0006196314806772111,0.26343815411003346,-0.4967817363957213,0.49834751139294964,100,89.09346503048342,10.906534969516605,0.0,100.0,0.0,90.7127626617573,83.13689971239454,93.03032478872005,100,False,nan,nan
30,0.9535509594647191,0.9906346896096416,-0.0330642731034145,0.29498337582417755,-0.4781766032245105,0.48129709049724667,100,89.28451439818815,10.715485601811848,0.0,100.0,0.0,89.43898929262943,85.0820649361276,93.14018309201052,100,True,70,34
31,1.0075267528942102,0.9705205629911761,0.021709566176256804,0.2872972855583644,-0.4728325787744402,0.4849896561408751,100,90.95698295575002,9.043017044249975,0.0,100.0,0.0,91.74661964340287,86.41923272363398,95.17210963485914,100,False,nan,nan
32,1.0097725592092341,0.9707675091922284,0.02173142962129614,0.2768117033787672,-0.48739248002424096,0.4841103190364978,100,89.9815903622544,10.018409637745625,0.0,100.0,0.0,89.83753701117865,85.22188343574463,94.86117611472694,100,False,nan,nan
33,1.0114466604602448,1.028866103242921,0.020354940868624306,0.3044944543276503,-0.4875959637226852,0.49543751619130993,100,86.73208171227574,13.267918287724282,0.0,100.0,0.0,88.77126585021904,79.67839201746082,91.54199782940447,100,False,nan,nan
34,1.019161845791789,0.9250543993023104,-0.04086298564259325,0.2698002436307678,-0.4944942008395792,0.47153269090105066,100,88.64411646795703,11.355883532042979,0.0,100.0,0.0,88.61868737549034,83.97412052968133,92.94530684443822,100,False,nan,nan
35,0.9685388279890749,1.0140361666225868,-0.019720269421120054,0.2848285680916379,-0.4984348948085271,0.49281683899907036,100,89.88728023128054,10.112719768719458,0.0,100.0,0.0,90.4625519533912,86.45563774572868,92.96440982509631,100,False,nan,nan
36,1.0039223263995325,1.0136938847552823,-0.015549521353496484,0.28089368525148084,-0.4766479036718141,0.48803596615559186,100,88.99086417467265,11.009135825327329,0.0,100.0,0.0,88.65435009941393,86.1617550449662,92.24114262401335,100,False,nan,nan
37,0.9888559509274295,1.0068760547446818,0.039706641300422216,0.27638131499982727,-0.4605404671091007,0.4938483888996982,100,89.32788130773287,10.672118692267127,0.0,100.0,0.0,88.76941356835533,84.8188573747001,94.22454691768519,100,False,nan,nan
38,1.0259610109903612,0.9678252134261575,0.005739258733858988,0.3069775523583236,-0.4911367148865311,0.4978208556819782,100,87.8507342113913,12.149265788608698,0.0,100.0,0.0,88.14552361426212,84.50574421219407,90.9004811680734,100,False,nan,nan
39,0.9849484402555997,1.076868616514232,-0.0026605846381163823,0.2882836601735533,-0.4998653069955147,0.4789811151748089,100,89.34917893752434,10.650821062475677,0.0,100.0,0.0,91.07090828126557,81.21399806962647,94.72843140697121,100,False,nan,nan
40,1.013516873844008,0.9528963513024475,-0.036204619288088415,0.27387746733014384,-0.49007617887216437,0.4760138232792136,100,89.77900820265936,10.22099179734063,0.0,100.0,0.0,89.0024937791501,86.79346914994093,94.18794542086974,100,False,nan,nan
41,1.009129528406491,0.9828984313778095,-0.03299121652729123,0.2995727350825322,-0.49864637428453185,0.49132790156422057,100,89.75323273938406,10.246767260615933,0.0,100.0,0.0,89.6467065897676,87.65943470109816,91.87448463114991,100,False,nan,nan
42,1.0193693395498462,0.9725507980407946,0.02901348931127268,0.31703501266558537,-0.4909615309207078,0.49481929396595103,100,88.00083681305492,11.999163186945086,0.0,100.0,0.0,87.18356300349784,84.46756078637004,94.00447243686473,100,False,nan,nan
43,1.001966216456782,0.9513391766721466,-0.003957892508435309,0.2853333408539434,-0.49998836524463386,0.4509285945025484,100,87.33466113397034,12.665338866029648,0.0,100.0,0.0,89.02222552591711,80.10299212937872,92.34611495530295,100,False,nan,nan
44,1.0197601033251826,1.0431530130120077,0.061692092066143026,0.2776176711368625,-0.4985261779136886,0.4848584027624758,100,88.75431716653571,11.245682833464286,0.0,100.0,0.0,87.8361486058967,85.9619283777593,93.79380272074724,100,False,nan,nan
45,1.0000628555792699,1.0295035166779292,-0.010411662489018451,0.2799848504691575,-0.48858201654592637,0.47025710972605705,100,89.34152806151675,10.658471938483258,0.0,100.0,0.0,90.30687820898076,83.43105047184056,93.79536204867026,100,False,nan,nan
46,0.9908920982885167,0.9599877572318781,-0.015332204235430153,0.2991294294423947,-0.491680057772808,0.48036874094218507,100,86.85588065138768,13.14411934861231,0.0,100.0,0.0,87.00248574484625,81.8795850178735,91.91069713077812,100,False,nan,nan
47,1.018246988825811,0.976296466454135,-0.003091586360090161,0.2817929916629846,-0.490945838419629,0.4514907101767872,100,87.64758599312597,12.352414006874012,0.0,100.0,0.0,88.81358087304909,81.23098483204798,91.68056536297335,100,False,nan,nan
48,1.0194141040018396,0.9851293378679651,-0.04748421042520138,0.28211159140898684,-0.49800786478092973,0.45281501700250604,100,86.74409318825904,13.255906811740987,0.0,100.0,0.0,86.58569879511644,81.64035241761523,90.81697549759409,100,False,nan,nan
49,0.9571745168520006,1.0109561038681347,-0.009032015996469822,0.27317028416503236,-0.4900212233415506,0.4680658120507589,100,90.72441734095344,9.275582659046568,0.0,100.0,0.0,90.52660155806085,88.2863836229499,94.70893911974404,100,False,nan,nan
