scenario_name,region,start_index,feasible_solution,optimization_success,termination,cost,candidate_cost,pcc_p_pu_dsbase,pcc_q_pu_dsbase,solve_time_s,coverage_percentile,dso_scenario_index,coverage_percent,ts_load_factor
P10_TSO_0.80,true,3,True,True,optimal,11491.452245320688,11491.452245320688,0.28809308960063257,0.19163886355648818,0.23879999993368983,10,18,86.79891129115522,0.8
P10_TSO_0.80,true,4,True,True,optimal,11491.452245498827,11491.452245498827,0.2880930899436275,0.19163886796279872,0.5129846001509577,10,18,86.79891129115522,0.8
P50_TSO_1.00,base,0,True,True,optimal,15481.267998344365,15481.267998344365,0.3979814079603159,0.23448001770515248,0.07303200010210276,50,22,88.85079429437992,1.0
P50_TSO_1.00,base,1,True,True,optimal,15481.267998344334,15481.267998344334,0.3979814079603159,0.23448001770515248,0.07049189996905625,50,22,88.85079429437992,1.0
P50_TSO_1.00,base,2,True,True,optimal,15481.267998344354,15481.267998344354,0.3979814079603159,0.23448001770515248,0.07195320003665984,50,22,88.85079429437992,1.0
P50_TSO_1.00,base,3,True,True,optimal,15481.267998344325,15481.267998344325,0.3979814079603159,0.23448001770515248,0.07118589989840984,50,22,88.85079429437992,1.0
P50_TSO_1.00,base,4,True,True,optimal,15481.267998344321,15481.267998344321,0.3979814079603159,0.23448001770515248,0.06449410016648471,50,22,88.85079429437992,1.0
P50_TSO_1.00,pinn,0,True,True,optimal,15442.326526673662,15442.326526673662,0.304274081682378,0.17702174876422083,0.07947029988281429,50,22,88.85079429437992,1.0
P50_TSO_1.00,pinn,1,True,True,optimal,15442.326526684452,15442.326526684452,0.3042740817014885,0.17702174900159634,0.07127609988674521,50,22,88.85079429437992,1.0
P50_TSO_1.00,pinn,2,True,True,optimal,15442.32652669525,15442.32652669525,0.3042740817205991,0.17702174923897301,0.08793469984084368,50,22,88.85079429437992,1.0
P50_TSO_1.00,pinn,3,True,True,optimal,15442.326526706041,15442.326526706041,0.30427408173970966,0.17702174947635058,0.08376540010794997,50,22,88.85079429437992,1.0
P50_TSO_1.00,pinn,4,True,True,optimal,15442.326526716843,15442.326526716843,0.30427408175882037,0.17702174971372922,0.06284829997457564,50,22,88.85079429437992,1.0
P50_TSO_1.00,true,0,True,True,optimal,15439.691906745966,15439.691906745966,0.2977895504464591,0.17773847478667795,0.2461627998854965,50,22,88.85079429437992,1.0
P50_TSO_1.00,true,1,True,True,optimal,15439.69190691869,15439.69190691869,0.29778955075462626,0.17773847850740312,0.22871690010651946,50,22,88.85079429437992,1.0
P50_TSO_1.00,true,2,True,True,optimal,15439.691907091425,15439.691907091425,0.29778955106279337,0.17773848222812633,0.26227959990501404,50,22,88.85079429437992,1.0
P50_TSO_1.00,true,3,True,True,optimal,15439.691907264147,15439.691907264147,0.2977895513709605,0.17773848594884764,0.7288691999856383,50,22,88.85079429437992,1.0
P50_TSO_1.00,true,4,True,True,optimal,15439.691907436856,15439.691907436856,0.2977895516791277,0.17773848966956682,0.37389160017482936,50,22,88.85079429437992,1.0
P90_TSO_1.20,base,0,True,True,optimal,19616.30376703191,19616.30376703191,0.4094433063195311,0.23738537885203925,0.07729059993289411,90,17,90.13210624061311,1.2
P90_TSO_1.20,base,1,True,True,optimal,19616.303767037196,19616.303767037196,0.4094433063195311,0.23738537885203925,0.06202850001864135,90,17,90.13210624061311,1.2
P90_TSO_1.20,base,2,True,True,optimal,19616.30376704245,19616.30376704245,0.4094433063195311,0.23738537885203925,0.059298699954524636,90,17,90.13210624061311,1.2
P90_TSO_1.20,base,3,True,True,optimal,19616.303767047717,19616.303767047717,0.4094433063195311,0.23738537885203925,0.06729430006816983,90,17,90.13210624061311,1.2
P90_TSO_1.20,base,4,True,True,optimal,19616.30376705296,19616.30376705296,0.4094433063195311,0.23738537885203925,0.06948799989186227,90,17,90.13210624061311,1.2
P90_TSO_1.20,pinn,0,True,True,optimal,19573.59347803191,19573.59347803191,0.31087941614004266,0.17703913991019726,0.0702110999263823,90,17,90.13210624061311,1.2
P90_TSO_1.20,pinn,1,True,True,optimal,19573.593478048107,19573.593478048107,0.31087941615927916,0.1770391400870709,0.06977089983411133,90,17,90.13210624061311,1.2
P90_TSO_1.20,pinn,2,True,True,optimal,19573.593478064304,19573.593478064304,0.3108794161785157,0.17703914026394507,0.06486600008793175,90,17,90.13210624061311,1.2
P90_TSO_1.20,pinn,3,True,True,optimal,19573.59347808048,19573.59347808048,0.3108794161977523,0.17703914044081953,0.07575709978118539,90,17,90.13210624061311,1.2
P90_TSO_1.20,pinn,4,True,True,optimal,19573.59347809668,19573.59347809668,0.31087941621698884,0.17703914061769413,0.0790545002091676,90,17,90.13210624061311,1.2
P90_TSO_1.20,true,0,True,True,optimal,19570.68334737946,19570.68334737946,0.30392998789623976,0.17949722990039038,0.2781040999107063,90,17,90.13210624061311,1.2
P90_TSO_1.20,true,1,True,True,optimal,19570.683347557584,19570.683347557584,0.3039299881885794,0.17949723316940935,0.25323860021308064,90,17,90.13210624061311,1.2
P90_TSO_1.20,true,2,True,True,optimal,19570.683347735707,19570.683347735707,0.30392998848091907,0.1794972364384272,0.3161497002001852,90,17,90.13210624061311,1.2
P90_TSO_1.20,true,3,True,True,optimal,19570.683347913837,19570.683347913837,0.3039299887732587,0.17949723970744386,0.4285412000026554,90,17,90.13210624061311,1.2
P90_TSO_1.20,true,4,True,True,optimal,19570.68334809197,19570.68334809197,0.30392998906559837,0.17949724297645966,0.42045920016244054,90,17,90.13210624061311,1.2
