ts_load_factor,dso_dtheta_level,dso_scenario_index,dso_load_factor,dso_active_load_factor,dso_reactive_load_factor,dtheta_mean,dtheta_std,dtheta_min,dtheta_max,dso_current_limits_enabled,nominal_host_pcc_p_mw,nominal_host_pcc_q_mvar,current_multiplier,base_cost,pinn_cost,true_cost,base_solve_time_s,pinn_solve_time_s,true_solve_time_s,pinn_true_cost_gap,pinn_true_relative_cost_gap_percent,true_flexibility_value,pinn_flexibility_value,value_retention_percent,cost_order_ok,all_economic_optimization_success,base_feasible_solution,pinn_feasible_solution,true_feasible_solution,base_optimization_success,pinn_optimization_success,true_optimization_success,pinn_disaggregation_squared_error,pinn_disaggregation_solved,pinn_disaggregation_feasible,pinn_disaggregation_optimization_success,pinn_disaggregation_termination,pinn_disaggregation_solve_time_s,pinn_true_pcc_distance_pu,pinn_true_pg_l1_mw,pinn_true_pg_linf_mw,pinn_true_qg_l1_mvar,pinn_true_qg_linf_mvar,true_current_limit_active_rate,reference_max_current_pu,allowed_max_current_pu,true_pcc_p_pu_dsbase,true_pcc_q_pu_dsbase,base_max_tso_branch_utilization_percent,pinn_max_tso_branch_utilization_percent,true_max_tso_branch_utilization_percent,base_tso_branch_ge99_utilization_ratio_percent,pinn_tso_branch_ge99_utilization_ratio_percent,true_tso_branch_ge99_utilization_ratio_percent,n_directions,coverage_percent,undercoverage_percent,overcoverage_percent,undercovered_direction_percent,overcovered_direction_percent,coverage_median_percent,coverage_p05_percent,coverage_p95_percent,coverage_sample_count,coverage_percentile,coverage_rank_zero_based
0.8,nan,22,1.0189116175731452,1.0189116175731452,0.9633066284688921,0.021572922629654726,0.2738876927446476,-0.49424133950187843,0.49941372577066656,False,166.0823229306314,102.914859071622,2.0,11533.547477834703,11497.44366865229,11494.992535847676,0.06505699991248548,0.07477389997802675,0.25170669984072447,2.451132804613735,0.02132348322080038,38.55494198702763,36.1038091824139,93.64249385866421,True,True,True,True,True,True,True,True,3.0273407735966396e-11,True,True,True,optimal,0.2781211999244988,0.0065352976953220445,0.06747294303714013,0.06747294294315864,0.02443862879861992,0.014713261958032575,nan,nan,nan,0.2977873335559648,0.17781686915790135,79.44273933216107,79.33298472022594,79.32559465437959,0.0,0.0,0.0,100,88.85079429437992,11.149205705620068,0.0,100.0,0.0,87.77301534299768,86.052503269167,93.85991231032148,100,50,25
0.9,nan,22,1.0189116175731452,1.0189116175731452,0.9633066284688921,0.021572922629654726,0.2738876927446476,-0.49424133950187843,0.49941372577066656,False,166.0823229306314,102.914859071622,2.0,13475.079812998712,13436.914434305198,13434.328264749814,0.06922419997863472,0.07779329991899431,0.2685473000165075,2.586169555383094,0.01925045677325688,40.75154824889796,38.16537869351487,93.65381275924153,True,True,True,True,True,True,True,True,3.027341138905244e-11,True,True,True,optimal,0.2394377999007702,0.006528483056801035,0.06552573490109237,0.043809940861846974,0.005754006827156377,0.004979256319541381,nan,nan,nan,0.29778861018728203,0.1777699139773406,88.28615023328959,88.30485577016803,88.30592767490477,0.0,0.0,0.0,100,88.85079429437992,11.149205705620068,0.0,100.0,0.0,87.77301534299768,86.052503269167,93.85991231032148,100,50,25
1.0,nan,22,1.0189116175731452,1.0189116175731452,0.9633066284688921,0.021572922629654726,0.2738876927446476,-0.49424133950187843,0.49941372577066656,False,166.0823229306314,102.914859071622,2.0,15481.267998344332,15442.326526695259,15439.691907091415,0.07477459986694157,0.08138109999708831,0.2643244999926537,2.6346196038430207,0.017063938967803793,41.57609125291674,38.94147164907372,93.66313781683796,True,True,True,True,True,True,True,True,3.027341309317633e-11,True,True,True,optimal,0.23315480002202094,0.006524020541794995,0.06563582532821965,0.04388762555905257,0.007015538564224266,0.005157100609719245,nan,nan,nan,0.2977895510627934,0.17773848222812658,91.97204885405,91.99307018010828,91.99414890718221,0.0,0.0,0.0,100,88.85079429437992,11.149205705620068,0.0,100.0,0.0,87.77301534299768,86.052503269167,93.85991231032148,100,50,25
1.1,nan,22,1.0189116175731452,1.0189116175731452,0.9633066284688921,0.021572922629654726,0.2738876927446476,-0.49424133950187843,0.49941372577066656,False,166.0823229306314,102.914859071622,2.0,17526.353977101582,17486.631070783096,17483.947711117067,0.07069710013456643,0.11382089997641742,0.3218127000145614,2.6833596660289913,0.01534756171984427,42.4062659845149,39.72290631848591,93.67225667308495,True,True,True,True,True,True,True,True,3.0273414618740374e-11,True,True,True,optimal,0.23843779996968806,0.00651969729149995,0.06574668062844236,0.043967035412317834,0.008278196816610683,0.005334364322792662,nan,nan,nan,0.2977905467791408,0.1777074802879742,95.70592142788982,95.72917169058556,95.73025957318661,0.0,0.0,0.0,100,88.85079429437992,11.149205705620068,0.0,100.0,0.0,87.77301534299768,86.052503269167,93.85991231032148,100,50,25
1.2,nan,22,1.0189116175731452,1.0189116175731452,0.9633066284688921,0.021572922629654726,0.2738876927446476,-0.49424133950187843,0.49941372577066656,False,166.0823229306314,102.914859071622,2.0,19611.39709906328,19570.79232572235,19568.053404234484,0.06744110002182424,0.07461690017953515,0.2871159000787884,2.7389214878639905,0.013996903173165369,43.34369482879629,40.6047733409323,93.68092291466502,True,True,True,True,True,True,True,True,3.0273415966010267e-11,True,True,True,optimal,0.30003320006653666,0.006515852650849664,0.06486808602750305,0.06486808411285683,0.006452110328047933,0.0035788447971696336,nan,nan,nan,0.2977915056659488,0.1776794291271126,98.60531790714984,98.68697777435162,98.69206291240373,0.0,0.0,0.0,100,88.85079429437992,11.149205705620068,0.0,100.0,0.0,87.77301534299768,86.052503269167,93.85991231032148,100,50,25
0.8,nan,30,0.9535509594647191,0.9535509594647191,0.9906346896096416,-0.0330642731034145,0.29498337582417755,-0.4781766032245105,0.48129709049724667,False,166.0823229306314,102.914859071622,2.0,11524.260865341734,11491.581157662053,11488.555494367365,0.060032299952581525,0.07807240006513894,0.2982871998101473,3.025663294687547,0.026336324842326574,35.705370974368634,32.67970767968109,91.52602756358549,True,True,True,True,True,True,True,True,1.9960099045319785e-11,True,True,True,optimal,0.3509633999783546,0.007994004555326648,0.08330371614905446,0.08330371603362252,0.043825963184535105,0.029084166972426218,nan,nan,nan,0.2806925187194307,0.18213530409995704,79.414793992169,79.31534378590307,79.30621127541902,0.0,0.0,0.0,100,89.28451439818815,10.715485601811848,0.0,100.0,0.0,89.43898929262943,85.0820649361276,93.14018309201052,100,70,34
0.9,nan,30,0.9535509594647191,0.9535509594647191,0.9906346896096416,-0.0330642731034145,0.29498337582417755,-0.4781766032245105,0.48129709049724667,False,166.0823229306314,102.914859071622,2.0,13465.293404070162,13430.732669788982,13427.538907461014,0.05294179986231029,0.06852700002491474,0.30504009989090264,3.1937623279682157,0.02378516532313752,37.75449660914819,34.560734281179975,91.5407100747985,True,True,True,True,True,True,True,True,1.9960101808607643e-11,True,True,True,optimal,0.33891399996355176,0.007991529190843285,0.08091680386239225,0.054260696864601166,0.02057121845188692,0.011750096631590878,nan,nan,nan,0.2806937331132311,0.18209064060738797,88.29006036057946,88.30728409844626,88.30863927498008,0.0,0.0,0.0,100,89.28451439818815,10.715485601811848,0.0,100.0,0.0,89.43898929262943,85.0820649361276,93.14018309201052,100,70,34
1.0,nan,30,0.9535509594647191,0.9535509594647191,0.9906346896096416,-0.0330642731034145,0.29498337582417755,-0.4781766032245105,0.48129709049724667,False,166.0823229306314,102.914859071622,2.0,15471.30130672307,15436.031740947137,15432.777501418948,0.05667140008881688,0.11095439991913736,0.2664863998070359,3.2542395281889185,0.021086544712315792,38.5238053041212,35.26956577593228,91.5526529570515,True,True,True,True,True,True,True,True,1.996010309995464e-11,True,True,True,optimal,0.3477480001747608,0.00798993119515713,0.08106872482778194,0.05437077134495816,0.022060358980265093,0.013042774463745133,nan,nan,nan,0.2806946270411391,0.18206078126910125,91.97586707197884,91.995408106247,91.99679466637318,0.0,0.0,0.0,100,89.28451439818815,10.715485601811848,0.0,100.0,0.0,89.43898929262943,85.0820649361276,93.14018309201052,100,70,34
1.1,nan,30,0.9535509594647191,0.9535509594647191,0.9906346896096416,-0.0330642731034145,0.29498337582417755,-0.4781766032245105,0.48129709049724667,False,166.0823229306314,102.914859071622,2.0,17516.206084918827,17480.222705184748,17476.90762281052,0.054431599797680974,0.081312500173226,0.32789699989371,3.3150823742289504,0.018968357822651473,39.29846210830874,35.98337973407979,91.56434578764838,True,True,True,True,True,True,True,True,1.9960104241895522e-11,True,True,True,optimal,0.31353239994496107,0.007988399813322295,0.08122125079782494,0.05448272776861218,0.023550879126968405,0.0143369276552896,nan,nan,nan,0.2806955730904159,0.18203132945634942,95.70965377942228,95.73142437444844,95.73284367677134,0.0,0.0,0.0,100,89.28451439818815,10.715485601811848,0.0,100.0,0.0,89.43898929262943,85.0820649361276,93.14018309201052,100,70,34
1.2,nan,30,0.9535509594647191,0.9535509594647191,0.9906346896096416,-0.0330642731034145,0.29498337582417755,-0.4781766032245105,0.48129709049724667,False,166.0823229306314,102.914859071622,2.0,19601.040598537522,19564.254036397448,19560.8698253573,0.0736862001940608,0.08549969992600381,0.3640767000615597,3.384211040149239,0.017300923069188838,40.17077318022348,36.78656214007424,91.57543962381256,True,True,True,True,True,True,True,True,1.9960105234222492e-11,True,True,True,optimal,0.32366549992002547,0.007987051005843094,0.08015716866736078,0.08015716625782154,0.014200529674013307,0.007159839342207874,nan,nan,nan,0.28069648524793933,0.18200464934414612,98.62419432283943,98.69880531678635,98.70515482871456,0.0,0.0,0.0,100,89.28451439818815,10.715485601811848,0.0,100.0,0.0,89.43898929262943,85.0820649361276,93.14018309201052,100,70,34
