n_dso,profile,ts_load_factor,dso_position,pcc_index_zero_based,pcc_bus_number,condition,coverage_percent,undercoverage_percent,overcoverage_percent,pinn_p_pu_dsbase,pinn_q_pu_dsbase,true_p_pu_dsbase,true_q_pu_dsbase,pinn_true_interface_distance_pu,disaggregation_squared_error,disaggregation_feasible,disaggregation_optimization_success,disaggregation_termination,disaggregation_solve_time_s
10,target_P30,0.9,4,81,82,P10,86.79891129115522,13.201088708844766,0.0,0.2947169306510823,0.18760435840617223,0.288103166097838,0.19135897867393462,0.007605199203232149,5.419886510256363e-11,True,True,optimal,0.3345029000001887
10,target_P30,0.9,5,44,45,P50,88.85079429437992,11.149205705620068,0.0,0.3042740850452858,0.1770217761000924,0.2978258954963407,0.18769362958468927,0.012468664934780598,3.027327706971151e-11,True,True,optimal,0.32017980000000534
10,target_P30,0.9,6,94,95,P30,87.92401346901782,12.07598653098216,0.0,0.30866197403728135,0.17325900971746808,0.3028787122932837,0.17447589450694068,0.0059099005905714035,4.7368216635481995e-11,True,True,optimal,0.3775517999997646
10,target_P30,0.9,7,78,79,P30,87.92401346901782,12.07598653098216,0.0,0.3114787881732676,0.260317877573993,0.30423596376276535,0.2325179665877211,0.028727922937205337,2.3195667113901763e-11,True,True,optimal,0.36062079999965135
10,target_P30,0.9,8,87,88,P30,87.92401346901782,12.07598653098216,0.0,0.3114787875188978,0.26031785846985916,0.30362705649194904,0.21936193830784856,0.04170176346914524,2.319565867518633e-11,True,True,optimal,0.3822760000002745
10,target_P30,0.9,9,74,75,P10,86.79891129115522,13.201088708844766,0.0,0.2947169306543498,0.18760435945850928,0.2880937796616748,0.1916126892302869,0.0077416301016704605,5.419885146054005e-11,True,True,optimal,0.3233839000004082
10,target_P30,0.9,10,105,106,P50,88.85079429437992,11.149205705620068,0.0,0.30427408695906305,0.1770218905498211,0.29785997919815,0.19035712199443655,0.014797607105544666,3.0272802924490177e-11,True,True,optimal,0.2860335999998824
10,target_P30,1.0,1,59,60,P30,87.92401346901782,12.07598653098216,0.0,0.30866197478843693,0.17325902385108244,0.3028329614193961,0.1755697916625623,0.0062703305124234415,4.7368080364252495e-11,True,True,optimal,0.3333333999999013
10,target_P30,1.0,2,77,78,P30,87.92401346901782,12.07598653098216,0.0,0.3149433227834431,0.27870936338484387,0.308260299458394,0.281091338389971,0.007094829503814801,2.178816411347776e-11,True,True,optimal,0.3937364999997044
10,target_P30,1.0,3,10,11,P30,87.92401346901782,12.07598653098216,0.0,0.3086619747388596,0.17325902300688867,0.3028329495300366,0.17556376512603478,0.006268123413020849,4.736808857578094e-11,True,True,optimal,0.37682119999999486
10,target_P30,1.0,4,81,82,P10,86.79891129115522,13.201088708844766,0.0,0.29471701342187795,0.18760412760507514,0.2882132687509988,0.19016042319427678,0.006988085709503062,5.420048232141011e-11,True,True,optimal,0.2843337000003885
10,target_P30,1.0,5,44,45,P50,88.85079429437992,11.149205705620068,0.0,0.30427408665469124,0.17702185388869865,0.2978260663919318,0.18770696137206141,0.01247992336675074,3.027295214793226e-11,True,True,optimal,0.2518365000000813
10,target_P30,1.0,6,94,95,P30,87.92401346901782,12.07598653098216,0.0,0.30866197460020406,0.17325900958768375,0.30299154931980626,0.17356505260364372,0.005678678119790933,4.736820915901452e-11,True,True,optimal,0.34552099999973507
10,target_P30,1.0,7,78,79,P30,87.92401346901782,12.07598653098216,0.0,0.3120096518372873,0.2631359696449595,0.30814814000856394,0.2803537344942948,0.017645472507427405,2.7099424926680785e-12,True,True,optimal,0.34892089999993914
10,target_P30,1.0,8,87,88,P30,87.92401346901782,12.07598653098216,0.0,0.31147878916797317,0.2603178824762619,0.30598300615076834,0.2563038873936631,0.006805570328438638,2.3195661051507936e-11,True,True,optimal,0.37572869999985414
10,target_P30,1.0,9,74,75,P10,86.79891129115522,13.201088708844766,0.0,0.2953297533860975,0.18590832066873383,0.29119829494399135,0.18351619385633267,0.0047740150340629265,7.198901211663159e-11,True,True,optimal,0.33442039999999906
10,target_P30,1.0,10,105,106,P50,88.85079429437992,11.149205705620068,0.0,0.3055887832934449,0.25557616429156566,0.29809595439765746,0.20241043685814974,0.053691126439904584,2.8196713006564414e-11,True,True,optimal,0.29351520000000164
10,target_P30,1.05,1,59,60,P30,87.92401346901782,12.07598653098216,0.0,0.3086619747902396,0.17325902392853326,0.3028329536941305,0.17557085141622691,0.006270728288782811,4.736807965309613e-11,True,True,optimal,0.3874001999997745
