noise_sd_pct,true_case_index,repeat_index,direction_index,feasibility_ratio_pct,optimality_ratio_pct,feasibility_success,optimality_success
0.0,1,2,4,0.0007334215127106174,2.437677685346552,1,1
0.0,1,2,5,0.0008567488767764335,2.298473624048789,1,1
0.0,1,2,6,0.0003615797332338212,1.897785597701666,1,1
0.0,1,2,7,0.0008567429223083896,2.3247420789188014,1,1
0.0,1,2,8,0.0007334235596370735,2.430565818773513,1,1
0.0,1,2,9,0.0007334235650377553,2.2480680333913585,1,1
0.0,2,0,0,0.0015057363192129082,2.0164040386724085,1,1
0.0,2,0,1,0.008445340756159301,0.7814365785158595,1,1
0.0,2,0,2,0.001977958102264061,0.8579363375895581,1,1
0.0,2,0,3,0.0008124093120897537,2.2806833149721926,1,1
0.0,2,0,4,0.0019779580859908804,1.1905029146013,1,1
0.0,2,0,5,0.0008135520446155296,2.2328738442612335,1,1
0.0,2,0,6,0.0005887156126799386,1.8232549472280786,1,1
0.0,2,0,7,0.001718738235419714,1.8125529682463206,1,1
0.0,2,0,8,0.001977949458089232,1.079747900960287,1,1
0.0,2,0,9,0.0019779580173296296,0.8564997057931366,1,1
0.0,2,1,0,0.0015057382304135346,1.6732199155361314,1,1
0.0,2,1,1,0.0015057363144914482,1.9900210507027294,1,1
0.0,2,1,2,0.0007286839101819294,2.2122094123030656,1,1
0.0,2,1,3,0.000961625575239642,2.237065930908872,1,1
0.0,2,1,4,0.0007158193036634033,2.234187541528114,1,1
0.0,2,1,5,0.0019779580871661768,1.5515745511727215,1,1
0.0,2,1,6,0.0008124091118844612,2.2815947897262276,1,1
0.0,2,1,7,0.001977958097446829,1.367563627738578,1,1
0.0,2,1,8,0.0008135644138546093,2.1728273414008665,1,1
0.0,2,1,9,0.0008135643300208602,2.144960353866176,1,1
0.0,2,2,0,0.0007158193036609731,2.310635654503047,1,1
0.0,2,2,1,0.0008135517432861089,2.1794340031978483,1,1
0.0,2,2,2,0.0015057382299440139,1.6553561940108965,1,1
0.0,2,2,3,0.0007158193052638431,2.2766309897757266,1,1
0.0,2,2,4,0.0008135517467566934,2.230211173802645,1,1
0.0,2,2,5,0.0007158193037187387,2.293822750318918,1,1
0.0,2,2,6,0.0008135517454585561,2.148326522135267,1,1
0.0,2,2,7,0.0008124097673976624,2.2969140634160725,1,1
0.0,2,2,8,0.0007286839088413267,2.2293960948037004,1,1
0.0,2,2,9,0.001977958107989409,1.5319712027875325,1,1
0.0,3,0,0,0.0007701949146675975,2.233326694891984,1,1
0.0,3,0,1,0.0009892913714875363,1.61674023594192,1,1
0.0,3,0,2,0.0003392096949034097,1.8201833780765297,1,1
0.0,3,0,3,0.001548260668223461,1.2116834699808576,1,1
0.0,3,0,4,0.0009892913714539204,1.4741017164876375,1,1
0.0,3,0,5,0.0007128512623645763,2.5656861054991493,1,1
0.0,3,0,6,0.0013765256824278074,1.3950652694935977,1,1
0.0,3,0,7,0.00023791397559061607,3.5914836927901193,1,1
0.0,3,0,8,0.0007701751722624513,2.493213968657707,1,1
0.0,3,0,9,0.00030412562595537535,3.938671280530031,1,1
0.0,3,1,0,0.0006427726767321959,2.575344676408828,1,1
0.0,3,1,1,0.0015482606800239235,1.3126582386110166,1,1
0.0,3,1,2,0.0010468947258973323,1.7241493554822043,1,1
0.0,3,1,3,0.0010468947172677587,1.6311802899981198,1,1
0.0,3,1,4,0.001548263874146654,1.2081229605934751,1,1
0.0,3,1,5,0.0006266401872588622,3.847234425290457,1,1
